Change,Country,Location,Name,NameWoDiacritics,Subdivision,Status,Function,Date,IATA,Coordinates,Remarks
,AU,ALO,Adelong,Adelong,NSW,RL,--3-----,0607,,3519S 14804E,
,AU,ANB,Agnes Bank,Agnes Bank,NSW,RL,--3-----,1501,,3336S 15042E,
,AU,AGW,Agnew,Agnew,QLD,AI,---4----,9601,,,
,AU,WSY,Airlie Beach,Airlie Beach,QLD,AI,---4----,9912,,,
,AU,AIR,Airlie Terminal,Airlie Terminal,WA,RL,1-------,0212,,2120S 11510E,Airlie Island
,AU,APW,Airport West,Airport West,VIC,RL,--3-----,1207,,3744S 14453E,
,AU,ALH,Albany,Albany,WA,AC,1--4----,9511,,,
,AU,ACK,Albany Creek,Albany Creek,QLD,RL,-----6--,1107,,2721S 15259E,
+,AU,ABO,Alberton,Alberton,QLD,RL,--3-----,1801,,2742S 15315E,
,AU,APK,Albion Park,Albion Park,NSW,RL,--3-----,0607,,3434S 15047E,
,AU,ABX,Albury,Albury,NSW,AI,-234----,0307,,3605S 14655E,
,AU,ALD,Aldgate,Aldgate,SA,RL,1----6--,1107,,3501S 13844E,
,AU,ADG,Aldinga,Aldinga,SA,RL,--3-----,1601,,3517S 13829E,
,AU,AVA,Alexandra,Alexandra,VIC,RL,-----6--,1201,,3711S 14542E,
,AU,ALX,Alexandria,Alexandria,NSW,RL,--3-----,0201,,3354S 15113E,
,AU,AXL,Alexandria,Alexandria,NT,AI,---4----,9601,,,
,AU,ASP,Alice Springs,Alice Springs,NT,AI,---4----,9601,,,
,AU,ALB,Allambie Heights,Allambie Heights,NSW,RL,--3-----,1207,,3345S 15115E,
,AU,AFD,Allansford,Allansford,VIC,RQ,--3-----,1101,,3824S 14235E,
,AU,ABH,Alpha,Alpha,QLD,AI,---4----,9601,,,
,AU,APT,Alphington,Alphington,VIC,RL,-----6--,1201,,3746S 14501E,
,AU,ALN,Alpine,Alpine,NSW,RL,--3-----,1407,,3424S 15030E,
,AU,AYD,Alroy Downs,Alroy Downs,NT,AI,---4----,9912,,,
,AU,AVI,Alstonville,Alstonville,NSW,RL,--3-----,0607,,2850S 15326E,
,AU,AWN,Alton Downs,Alton Downs,SA,AI,---4----,9912,,,
,AU,ALT,Altona,Altona,VIC,RL,--3-----,1407,,3752S 14450E,
,AU,ATO,Altona North,Altona North,VIC,RL,-----6--,0601,,3749S 14450E,
,AU,ALV,Alvie,Alvie,VIC,RL,-----6--,1201,,3814S 14330E,
,AU,AYG,Alyangula,Alyangula,NT,RL,--3-----,1501,,1351S 13625E,
,AU,AMT,Amata,Amata,NT,AI,---4----,9912,,,
,AU,ABL,Amberley,Amberley,QLD,AC,---4----,9709,,,
,AU,RCN,American River,American River,SA,AI,---4----,9912,,,
,AU,AMX,Ammaroo,Ammaroo,NT,AI,---4----,9912,,,
+,AU,AMR,Amrun,Amrun,QLD,AA,1-------,1801,,1255S 14137E,
,AU,ADO,Andamooka,Andamooka,SA,AI,---4----,9601,,,
,AU,AND,Andrews,Andrews,QLD,RL,-23-----,0607,,3336S 13838E,
,AU,ZCB,Angas Plains,Angas Plains,SA,RL,--3-----,1501,,3521S 13900E,
,AU,ANG,Angaston,Angaston,SA,RQ,--3-----,0907,,3430S 13902E,
,AU,AVE,Angle Vale,Angle Vale,SA,RL,--3-----,1001,,3438S 13839E,
,AU,ASE,Anglesea,Anglesea,VIC,RL,--3-----,1601,,3825S 14410E,
,AD,ALV,Andorra la Vella,Andorra la Vella,,AI,--34-6--,0601,,4230N 00131E,
